iter	Logloss
0	0.6867717199
1	0.6805139682
2	0.6747617619
3	0.6687106372
4	0.6635665545
5	0.6578366508
6	0.6522757571
7	0.6468096502
8	0.6415641396
9	0.6356896432
10	0.6301142394
11	0.6248813018
12	0.6202576047
13	0.6151900048
14	0.6096068665
15	0.6056471559
16	0.6010460761
17	0.5964921171
18	0.5920381998
19	0.5877663751
20	0.5832608319
21	0.5792768602
22	0.5745809429
23	0.570767332
24	0.5662580864
25	0.5620211375
26	0.5582181801
27	0.5541144634
28	0.5506949088
29	0.5477066899
30	0.5459252709
31	0.5441783984
32	0.5413254762
33	0.5375960078
34	0.5349083894
35	0.5319025031
36	0.5289501083
37	0.5254859088
38	0.522328482
39	0.5198478979
40	0.5175075495
41	0.5145337396
42	0.5115715019
43	0.5091460597
44	0.5065498902
45	0.5041093981
46	0.5017154599
47	0.4999705451
48	0.4974053725
49	0.4952480041
50	0.4933176692
51	0.4911188107
52	0.4900545869
53	0.4882970068
54	0.486140831
55	0.4846771235
56	0.4827534318
57	0.4806106816
58	0.4787655786
59	0.4772026409
60	0.4759064989
61	0.4738935318
62	0.4721024506
63	0.4709147181
64	0.4693481125
65	0.4672624539
66	0.4652764914
67	0.4638007286
68	0.4629697076
69	0.4610739247
70	0.4603621489
71	0.4590310466
72	0.4577874202
73	0.4563734486
74	0.4557208556
75	0.4543284312
76	0.4537036978
77	0.4523693404
78	0.4507896867
79	0.4494384157
80	0.4479437323
81	0.446695626
82	0.4459711824
83	0.4448535106
84	0.4434754526
85	0.4420875695
86	0.4408484249
87	0.4394673179
88	0.4381718393
89	0.4370122962
90	0.4356796679
91	0.4344386436
92	0.4332859069
93	0.4321132442
94	0.4316957206
95	0.4307922754
96	0.429848621
97	0.4285919574
98	0.42727473
99	0.4269016629
100	0.4256165094
101	0.4247869735
102	0.4241405078
103	0.4229247639
104	0.4220594523
105	0.4210437404
106	0.4202980438
107	0.419312194
108	0.4187750926
109	0.4180514184
110	0.4173581993
111	0.4166110219
112	0.4159622104
113	0.4151821182
114	0.414792122
115	0.4143473214
116	0.4133362682
117	0.4125729136
118	0.4117220716
119	0.4112879068
120	0.4106660651
121	0.4100280487
122	0.4094745944
123	0.4086084442
124	0.4079666594
125	0.4070951071
126	0.4064172572
127	0.4058095229
128	0.4054103719
129	0.4049507507
130	0.4043101677
131	0.4040993114
132	0.4034495192
133	0.4026557086
134	0.4019608849
135	0.4014605985
136	0.4009255192
137	0.4004005881
138	0.3998222332
139	0.3993717148
140	0.3985687346
141	0.3980333787
142	0.3975518341
143	0.3969391534
144	0.3963541076
145	0.3956897196
146	0.3951052007
147	0.3943940325
148	0.3939318047
149	0.393557041
150	0.3933365583
151	0.3928238357
152	0.3923470838
153	0.3918837393
154	0.3915150386
155	0.3910262608
156	0.3905020771
157	0.3900727083
158	0.3896145987
159	0.3892330926
160	0.3891191507
161	0.3890172702
162	0.3885942471
163	0.3881306276
164	0.3875381691
165	0.3874681053
166	0.3869828457
167	0.3864865142
168	0.3863417988
169	0.3862085127
170	0.3859611917
171	0.3857072954
172	0.385603866
173	0.3850772906
174	0.3849529009
175	0.3846283479
176	0.3842133907
177	0.3841155066
178	0.3840413215
179	0.3835984238
180	0.3833604751
181	0.3832895329
182	0.3827079548
183	0.3823586254
184	0.3819179062
185	0.3816583941
186	0.3813695956
187	0.380888511
188	0.380550926
189	0.3801120114
190	0.3798088646
191	0.379323575
192	0.3788238091
193	0.3785100166
194	0.3780244207
195	0.3775482977
196	0.3773974103
197	0.3770455772
198	0.3768676504
199	0.3765564895
200	0.3763453055
201	0.3762652028
202	0.3758120964
203	0.3754921409
204	0.3752904765
205	0.3748902459
206	0.3746125027
207	0.3743166597
208	0.373923639
209	0.3736422485
210	0.3734114405
211	0.3731167722
212	0.3728964968
213	0.37273809
214	0.3723712225
215	0.3719612879
216	0.3716136289
217	0.3713650158
218	0.3711649893
219	0.3708555488
220	0.3706521799
221	0.3703073773
222	0.3702046781
223	0.369799761
224	0.3693872136
225	0.3690917439
226	0.368967091
227	0.3686820529
228	0.3686537177
229	0.3684476053
230	0.3681088265
231	0.3678206942
232	0.367609401
233	0.3674396164
234	0.3672911493
235	0.3669834055
236	0.3668029216
237	0.3667402062
238	0.3665356428
239	0.3664114522
240	0.3662013348
241	0.3659565951
242	0.3658630474
243	0.3656020494
244	0.3653281828
245	0.3651928326
246	0.3649026014
247	0.3647031014
248	0.3645115178
249	0.3642173645
250	0.3640776124
251	0.3639765778
252	0.363878065
253	0.3635897996
254	0.3633258175
255	0.3631265059
256	0.3629255443
257	0.3626112077
258	0.3622699681
259	0.3621221865
260	0.3619008173
261	0.3617053964
262	0.3615906501
263	0.3612207968
264	0.360998788
265	0.3608995201
266	0.3606891389
267	0.3605004175
268	0.3602134986
269	0.3599930885
270	0.3597690367
271	0.3597414905
272	0.3595837868
273	0.3594327788
274	0.3591907814
275	0.3590652603
276	0.3589026693
277	0.3586936646
278	0.3585578619
279	0.3583669583
280	0.3580547365
281	0.3577928596
282	0.3577047729
283	0.3575314885
284	0.3574939407
285	0.357219302
286	0.3570343185
287	0.3569483592
288	0.3567090433
289	0.3564038042
290	0.35625992
291	0.3558771084
292	0.355648587
293	0.3554991887
294	0.3552702899
295	0.3550601223
296	0.3548988293
297	0.35464507
298	0.3543215818
299	0.3540950649
300	0.353832631
301	0.3535870083
302	0.3535268694
303	0.3533548932
304	0.3533017107
305	0.3530101589
306	0.3528799778
307	0.3528721655
308	0.3526551892
309	0.3523579462
310	0.3522286306
311	0.352028961
312	0.3518615911
313	0.3516715961
314	0.3514468624
315	0.3514174321
316	0.3512355409
317	0.3509471912
318	0.3508823712
319	0.3506876412
320	0.3504546093
321	0.3503673406
322	0.3502401511
323	0.3499392021
324	0.3497641361
325	0.3495851776
326	0.3493661558
327	0.3492310879
328	0.3490118331
329	0.3487998775
330	0.3487568109
331	0.3486320119
332	0.3483710794
333	0.3482302197
334	0.3480140972
335	0.3478092271
336	0.3475371117
337	0.3473632424
338	0.3470820541
339	0.3470542833
340	0.346901171
341	0.3467810461
342	0.3465032684
343	0.3462650687
344	0.3459418746
345	0.3457402267
346	0.3456248455
347	0.345475108
348	0.3453671198
349	0.345195836
350	0.3450237114
351	0.3448474007
352	0.344556202
353	0.3445524931
354	0.3444024889
355	0.3443069648
356	0.3442420331
357	0.3440263103
358	0.3438801465
359	0.3437593702
360	0.3435438897
361	0.3434392533
362	0.3432610026
363	0.3430502222
364	0.3428623744
365	0.3427198305
366	0.3424896031
367	0.3424210824
368	0.3423509298
369	0.3421832921
370	0.3419897033
371	0.3418372724
372	0.3417396543
373	0.3417261175
374	0.3415292232
375	0.3413925829
376	0.3412960904
377	0.3410275975
378	0.3409127017
379	0.3408517622
380	0.3407276389
381	0.3405113332
382	0.3404117306
383	0.3403419731
384	0.3401192239
385	0.3400609759
386	0.3399918558
387	0.339802762
388	0.3396795922
389	0.3394835438
390	0.3393900847
391	0.3392597738
392	0.339073291
393	0.3389212323
394	0.3387281648
395	0.3385376397
396	0.3384557883
397	0.3383010394
398	0.3381482308
399	0.3380039684
400	0.337759681
401	0.3375151028
402	0.3371928567
403	0.3369845787
404	0.3368162933
405	0.3366893413
406	0.336666591
407	0.336578359
408	0.3365497153
409	0.3364367911
410	0.33624655
411	0.3361768458
412	0.3360774733
413	0.3359437413
414	0.3357052316
415	0.3355443202
416	0.3354637954
417	0.3352823501
418	0.3352275654
419	0.3352189222
420	0.3351256032
421	0.335048782
422	0.3348708111
423	0.334735252
424	0.3345938026
425	0.3344194737
426	0.334363924
427	0.3342368102
428	0.3341189475
429	0.3338878621
430	0.3337792844
431	0.3336211494
432	0.3334880533
433	0.3333684877
434	0.3332602138
435	0.333142185
436	0.3330335676
437	0.333002496
438	0.3328055579
439	0.3327194396
440	0.3326521777
441	0.3326191009
442	0.3324772757
443	0.3323371349
444	0.3322548692
445	0.33214693
446	0.332061113
447	0.3317973604
448	0.3317769055
449	0.3316938952
450	0.3315452309
451	0.3313681626
452	0.3313554156
453	0.3313491158
454	0.3313093929
455	0.3312776624
456	0.331154763
457	0.3311053556
458	0.3309573626
459	0.330882965
460	0.3307545992
461	0.3306617381
462	0.3305785594
463	0.3305261356
464	0.3304128186
465	0.3303173392
466	0.330174835
467	0.3301620855
468	0.3300469864
469	0.330006215
470	0.3297888968
471	0.3296636032
472	0.3296327892
473	0.3295084002
474	0.329426247
475	0.3293508226
476	0.3292505461
477	0.3290612948
478	0.3289077232
479	0.3288122013
480	0.3285686182
481	0.3284543884
482	0.3283961169
483	0.3282444662
484	0.3281193253
485	0.3280527824
486	0.3279964085
487	0.3278851279
488	0.3277080929
489	0.3275806629
490	0.327485839
491	0.327396696
492	0.3273068251
493	0.3271331263
494	0.3270322687
495	0.3269176577
496	0.3267807979
497	0.3266901982
498	0.3265402609
499	0.3265043981
500	0.3264205897
501	0.326298416
502	0.3261828814
503	0.3259488981
504	0.3257939796
505	0.325760994
506	0.3256324499
507	0.3255153305
508	0.3253420425
509	0.3251574948
510	0.3250247496
511	0.3249258348
512	0.3248935151
513	0.324787037
514	0.3247584073
515	0.3246104647
516	0.3245710575
517	0.3243520103
518	0.3242975853
519	0.324247721
520	0.3241741703
521	0.3240708391
522	0.3239672035
523	0.3238661322
524	0.3237666382
525	0.3236683102
526	0.3236166163
527	0.3234720319
528	0.3232739202
529	0.3231231271
530	0.3230702364
531	0.3230064632
532	0.3229353845
533	0.3229003766
534	0.3228806169
535	0.3227790126
536	0.3226276262
537	0.3225467391
538	0.3225041611
539	0.3223578064
540	0.3222697644
541	0.3221631541
542	0.3219362171
543	0.3218185757
544	0.3215523304
545	0.321491958
546	0.3214038827
547	0.3213099551
548	0.3212519752
549	0.3211931919
550	0.3211346332
551	0.3211044331
552	0.32107191
553	0.3209271575
554	0.3208435807
555	0.3207485134
556	0.3206682033
557	0.3205870978
558	0.3204955329
559	0.3203764595
560	0.3202979658
561	0.3201980236
562	0.3201415227
563	0.3200193532
564	0.3199236186
565	0.3199140421
566	0.3198308898
567	0.3197580137
568	0.3197554137
569	0.3197306073
570	0.3196524196
571	0.3196025919
572	0.3192689573
573	0.3191574962
574	0.3190522185
575	0.3189440741
576	0.3188047621
577	0.3187279539
578	0.3186172678
579	0.3185559628
580	0.3185445359
581	0.3183478405
582	0.3182255767
583	0.318197583
584	0.3181366009
585	0.3180315325
586	0.3179269564
587	0.3178298027
588	0.3177212611
589	0.3177098876
590	0.3176198453
591	0.3175078868
592	0.3174451095
593	0.3172086264
594	0.3170532687
595	0.316989382
596	0.3169053853
597	0.3168470411
598	0.3166708798
599	0.3165346559
600	0.3163921749
601	0.3162733123
602	0.3162102761
603	0.3160658558
604	0.3160231862
605	0.3159184091
606	0.3158633033
607	0.3157217501
608	0.3156706652
609	0.3155467138
610	0.3154573831
611	0.3153137161
612	0.3151582297
613	0.3150929208
614	0.3150084557
615	0.3148428886
616	0.3147431326
617	0.314690819
618	0.3146846141
619	0.3145144827
620	0.3144127273
621	0.3142496927
622	0.3142392099
623	0.3142253088
624	0.3142017762
625	0.3141546606
626	0.3139848989
627	0.3138596741
628	0.3136941644
629	0.3135166591
630	0.3134409897
631	0.3133287849
632	0.3133221911
633	0.313145655
634	0.313058106
635	0.3129947764
636	0.3127317688
637	0.3126565395
638	0.312533804
639	0.3124287658
640	0.3123135159
641	0.3121641628
642	0.3121249081
643	0.3119923293
644	0.3118993209
645	0.3118440319
646	0.3115963164
647	0.3114395195
648	0.3114289502
649	0.3113575515
650	0.311095237
651	0.3110642204
652	0.31094993
653	0.3108954298
654	0.3108803375
655	0.3108129069
656	0.3107125774
657	0.3105903198
658	0.3104328555
659	0.3101463396
660	0.3100288363
661	0.309892302
662	0.3097287035
663	0.3096352373
664	0.3095745686
665	0.3095039275
666	0.3094804264
667	0.309409658
668	0.3093434467
669	0.3093017977
670	0.3091827915
671	0.30912592
672	0.3090841369
673	0.309036623
674	0.3089527784
675	0.3087918093
676	0.3086897781
677	0.3086232344
678	0.3084274374
679	0.3081848259
680	0.3080438901
681	0.3079267595
682	0.307889755
683	0.3077827993
684	0.3076760049
685	0.3075455708
686	0.3073892412
687	0.3072887442
688	0.3071713634
689	0.3069248812
690	0.306853728
691	0.3066810765
692	0.3066294675
693	0.3065265346
694	0.3063136208
695	0.3061788118
696	0.3061235073
697	0.3059667224
698	0.3057402525
699	0.3055440279
700	0.3054940923
701	0.3054173639
702	0.3052549521
703	0.3052141707
704	0.3050604535
705	0.3050043559
706	0.3049316644
707	0.3044972122
708	0.3044098623
709	0.3041928044
710	0.3040413437
711	0.3038648816
712	0.3038297015
713	0.3036833915
714	0.3036388181
715	0.3034390051
716	0.3032297647
717	0.3030798848
718	0.3030206731
719	0.3028829186
720	0.302773371
721	0.302751164
722	0.3026911422
723	0.3025189012
724	0.3023664264
725	0.3022313864
726	0.3021775927
727	0.3021028157
728	0.301994664
729	0.3017889253
730	0.3017025254
731	0.3016372906
732	0.3014281855
733	0.3013413509
734	0.301201974
735	0.3009927364
736	0.3009577234
737	0.3008895481
738	0.3008578169
739	0.3006706983
740	0.3005100333
741	0.3003271426
742	0.3002135135
743	0.3001497973
744	0.3001419908
745	0.3000504125
746	0.2998150058
747	0.299722502
748	0.2996722315
749	0.2995994006
750	0.2994994213
751	0.2993619849
752	0.2993373343
753	0.2992043236
754	0.2991121429
755	0.2990631408
756	0.2990444138
757	0.2988811411
758	0.2987861394
759	0.2987211634
760	0.298580977
761	0.2985515936
762	0.2984635334
763	0.2982491438
764	0.2981042901
765	0.2980204945
766	0.2979485783
767	0.2977211631
768	0.2976293813
769	0.2975043785
770	0.2973256315
771	0.2973143873
772	0.2972978694
773	0.2971521155
774	0.2971453185
775	0.2970734696
776	0.296977846
777	0.2967532859
778	0.296680939
779	0.2966339256
780	0.2965190978
781	0.2965081836
782	0.2964694498
783	0.2963129606
784	0.2961900765
785	0.2961464254
786	0.2958653779
787	0.2956906643
788	0.2955686838
789	0.2954923711
790	0.295350379
791	0.2952351678
792	0.2951927973
793	0.2951572153
794	0.2950554365
795	0.2949018674
796	0.2948368301
797	0.2947662048
798	0.2947118852
799	0.2946440252
800	0.29458807
801	0.2945087351
802	0.2944415209
803	0.2943547065
804	0.2941762061
805	0.2941380568
806	0.2940922345
807	0.2940428682
808	0.293973108
809	0.2939016156
810	0.293767244
811	0.2936801838
812	0.2935958359
813	0.2934511795
814	0.2932837055
815	0.2931994917
816	0.2931410979
817	0.2930715855
818	0.2928493634
819	0.2927529407
820	0.2925569813
821	0.292470184
822	0.292428189
823	0.2921987574
