iter	Passed	Remaining
0	1	1102
1	2	1117
2	3	1108
3	4	1112
4	5	1029
5	6	1036
6	7	1047
7	8	1059
8	9	1058
9	10	1062
10	11	1062
11	12	1062
12	13	1046
13	14	1051
14	16	1059
15	16	1034
16	17	1036
17	19	1037
18	20	1046
19	21	1048
20	22	1048
21	23	1048
22	24	1048
23	25	1048
24	26	1049
25	28	1049
26	29	1048
27	30	1047
28	31	1047
29	32	1047
30	32	1030
31	33	1018
32	34	1019
33	35	1020
34	37	1020
35	38	1022
36	39	1022
37	40	1023
38	41	1022
39	42	1023
40	43	1017
41	44	1017
42	45	1018
43	46	1019
44	48	1019
45	49	1018
46	50	1018
47	51	1017
48	52	1018
49	53	1018
50	54	1018
51	55	1017
52	56	1007
53	57	1007
54	58	1007
55	59	1006
56	60	1007
57	62	1007
58	63	1004
59	63	1001
60	64	994
61	65	994
62	66	994
63	68	994
64	69	994
65	70	994
66	71	995
67	72	994
68	73	988
69	74	987
70	74	980
71	76	980
72	77	980
73	78	980
74	78	973
75	80	973
76	80	967
77	81	966
78	82	966
79	84	966
80	85	966
81	86	965
82	86	960
83	87	958
84	89	958
85	90	958
86	91	958
87	92	957
88	93	958
89	94	957
90	95	957
91	104	1030
92	105	1030
93	106	1029
94	107	1024
95	108	1024
96	109	1022
97	111	1021
98	112	1020
99	112	1015
100	113	1013
101	115	1013
102	116	1013
103	117	1015
104	118	1013
105	120	1014
106	121	1015
107	123	1015
108	124	1016
109	125	1019
110	127	1019
111	128	1020
112	129	1019
113	131	1019
114	132	1016
115	133	1015
116	134	1015
117	135	1014
118	137	1014
119	137	1010
120	139	1010
121	140	1009
122	141	1009
123	143	1010
124	144	1009
125	145	1008
126	146	1007
127	147	1006
128	148	1002
129	149	1001
130	150	999
131	151	997
132	152	996
133	153	994
134	155	993
135	157	998
136	159	1003
137	161	1008
138	163	1015
139	165	1015
140	166	1014
141	167	1013
142	169	1013
143	170	1012
144	171	1012
145	172	1011
146	174	1010
147	175	1008
148	176	1007
149	177	1005
150	178	1003
151	179	1002
152	180	1000
153	181	999
154	183	997
155	184	998
156	185	998
157	187	997
158	188	995
159	189	994
160	190	992
161	191	988
162	192	986
163	193	985
164	194	984
165	195	980
166	196	978
167	197	977
168	198	973
169	198	970
170	199	969
171	201	967
172	201	964
173	202	962
174	203	960
175	204	958
176	205	957
177	206	953
178	207	950
179	208	948
180	209	947
181	209	943
182	211	942
183	212	941
184	213	940
185	214	938
186	215	937
187	216	936
188	218	935
189	219	934
190	220	932
191	221	931
192	222	930
193	223	929
194	224	927
195	225	926
196	226	924
197	227	922
198	228	921
199	230	920
200	231	918
201	231	915
202	232	914
203	233	912
204	235	911
205	236	910
206	237	909
207	238	908
208	239	906
209	240	906
210	242	904
211	243	903
212	244	902
213	245	901
214	246	900
215	247	899
216	248	898
217	250	897
218	251	896
219	252	895
220	253	894
221	259	907
222	260	907
223	261	907
224	263	907
225	264	906
226	265	905
227	267	904
228	267	901
229	269	900
230	270	899
231	271	898
232	272	897
233	273	896
234	279	909
235	280	908
236	283	911
237	285	914
238	289	920
239	291	923
240	294	926
241	296	930
242	299	934
243	302	936
244	304	938
245	305	937
246	306	935
247	308	934
248	309	932
249	310	931
250	311	929
251	312	926
252	313	925
253	314	923
254	315	922
255	316	920
256	317	918
257	318	917
258	320	915
259	320	913
260	322	911
261	323	910
262	324	908
263	325	906
264	326	905
265	327	903
266	328	902
267	329	900
268	330	898
269	331	897
270	333	895
271	333	893
272	334	891
273	336	890
274	337	888
275	338	887
276	339	886
277	340	885
278	341	883
279	343	882
280	344	880
281	345	879
282	346	877
283	347	876
284	348	874
285	349	872
286	350	871
287	351	869
288	352	868
289	354	867
290	355	865
291	356	864
292	357	862
293	358	861
294	359	860
295	360	858
296	362	857
297	363	856
298	364	854
299	365	853
300	366	851
301	368	851
302	369	850
303	370	849
304	371	847
305	373	846
306	374	844
307	374	842
308	376	840
309	377	839
310	378	838
311	379	837
312	380	835
313	381	834
314	383	832
315	383	830
316	384	829
317	386	827
318	387	826
319	388	824
320	389	823
321	390	821
322	391	820
323	392	818
324	393	817
325	394	816
326	395	814
327	396	813
328	398	811
329	399	810
330	399	808
331	401	806
332	402	805
333	403	804
334	404	803
335	406	802
336	407	801
337	408	799
338	409	798
339	410	796
340	411	794
341	412	793
342	413	792
343	414	791
344	415	789
345	424	802
346	425	801
347	427	800
348	431	804
349	432	803
350	434	802
351	438	806
352	439	805
353	440	803
354	441	801
355	442	800
356	443	799
357	444	797
358	445	796
359	447	794
360	448	793
361	449	792
362	450	790
363	451	789
364	452	787
365	453	786
366	455	784
367	456	783
368	457	782
369	458	780
370	459	779
371	460	777
372	461	776
373	462	774
374	463	772
375	464	771
376	465	770
377	467	768
378	468	767
379	469	765
380	470	764
381	471	763
382	472	761
383	473	760
384	475	758
385	476	757
386	477	756
387	478	754
388	479	753
389	480	751
390	481	750
391	483	749
392	484	747
393	485	747
394	486	745
395	488	744
396	489	743
397	490	741
398	491	740
399	492	738
400	493	737
401	494	735
402	495	734
403	497	733
404	498	731
405	499	730
406	500	728
407	501	727
408	502	725
409	503	724
410	504	723
411	505	721
412	506	720
413	507	718
414	508	717
415	510	716
416	511	714
417	512	713
418	513	711
419	514	709
420	515	708
421	516	707
422	517	705
423	518	704
424	519	702
425	520	701
426	521	700
427	522	698
428	524	697
429	525	696
430	526	694
431	527	693
432	528	692
433	529	690
434	530	689
435	532	688
436	533	687
437	534	685
438	535	683
439	536	682
440	537	681
441	538	679
442	539	678
443	540	677
444	541	675
445	543	674
446	544	673
447	545	671
448	546	670
449	547	668
450	548	667
451	549	666
452	550	664
453	551	662
454	552	661
455	553	660
456	555	659
457	564	667
458	565	666
459	566	664
460	567	663
461	568	662
462	569	660
463	570	659
464	571	657
465	572	656
466	573	655
467	574	653
468	575	651
469	576	650
470	578	649
471	579	647
472	579	646
473	581	644
474	582	643
475	583	642
476	584	640
477	585	639
478	586	637
479	587	636
480	588	635
481	589	633
482	591	632
483	592	631
484	593	630
485	594	628
486	595	627
487	596	625
