iter	Passed	Remaining
0	2	2434
1	9	4619
2	12	3999
3	14	3492
4	15	3143
5	18	3029
6	20	2843
7	23	2887
8	26	2917
9	28	2780
10	30	2744
11	32	2656
12	34	2582
13	36	2588
14	39	2593
15	42	2625
16	44	2589
17	47	2604
18	50	2603
19	52	2595
20	55	2569
21	58	2608
22	61	2603
23	64	2608
24	67	2629
25	69	2605
26	72	2610
27	76	2641
28	77	2610
29	80	2595
30	83	2595
31	85	2594
32	88	2594
33	91	2593
34	93	2590
35	96	2588
36	99	2594
37	101	2572
38	103	2556
39	106	2563
40	109	2552
41	111	2544
42	113	2531
43	115	2519
44	118	2519
45	121	2526
46	124	2519
47	126	2517
48	129	2516
49	132	2515
50	135	2515
51	137	2507
52	139	2494
53	142	2494
54	145	2494
55	147	2494
56	150	2491
57	153	2486
58	155	2482
59	158	2479
60	160	2477
61	163	2470
62	165	2454
63	166	2438
64	168	2430
65	170	2414
66	172	2407
67	175	2405
68	177	2400
69	180	2395
70	182	2390
71	188	2433
72	191	2427
73	193	2427
74	196	2418
75	198	2414
76	201	2416
77	203	2400
78	204	2386
79	207	2381
80	209	2377
81	211	2372
82	214	2367
83	216	2365
84	219	2360
85	221	2352
86	223	2348
87	226	2345
88	229	2349
89	231	2340
90	233	2336
91	236	2333
92	238	2325
93	240	2315
94	243	2315
95	245	2314
96	247	2308
97	254	2345
98	263	2399
99	269	2421
100	272	2422
101	274	2418
102	276	2410
103	278	2403
104	281	2399
105	284	2396
106	286	2392
107	289	2389
108	291	2386
109	294	2384
110	297	2383
111	299	2376
112	302	2374
113	305	2375
114	308	2377
115	312	2379
116	315	2382
117	318	2383
118	321	2383
119	325	2383
120	328	2383
121	331	2384
122	333	2378
123	335	2372
124	339	2376
125	341	2371
126	344	2370
127	347	2368
128	351	2372
129	354	2370
130	357	2371
131	360	2372
132	363	2369
133	369	2388
134	371	2380
135	373	2374
136	376	2369
137	378	2364
138	380	2359
139	383	2354
140	385	2349
141	388	2345
142	390	2340
143	392	2335
144	395	2330
145	397	2325
146	399	2320
147	401	2313
148	404	2308
149	406	2306
150	410	2309
151	413	2307
152	416	2305
153	418	2298
154	420	2290
155	422	2285
156	425	2284
157	427	2276
158	429	2271
159	431	2267
160	434	2264
161	437	2260
162	439	2257
163	442	2253
164	444	2249
165	446	2245
166	449	2239
167	451	2234
168	453	2230
169	465	2272
170	470	2280
171	475	2286
172	479	2291
173	484	2299
174	491	2314
175	494	2316
176	498	2317
177	501	2317
178	505	2317
179	508	2316
180	511	2313
181	513	2307
182	515	2300
183	517	2295
184	520	2293
185	523	2288
186	525	2284
187	527	2278
188	529	2272
189	531	2267
190	534	2266
191	536	2256
192	537	2249
193	543	2260
194	546	2254
195	548	2249
196	550	2245
197	553	2240
198	554	2233
199	556	2226
200	559	2222
201	561	2219
202	564	2215
203	566	2209
204	568	2204
205	570	2200
206	574	2200
207	576	2194
208	578	2190
209	581	2187
210	584	2184
211	586	2180
212	589	2176
213	591	2172
214	594	2168
215	596	2166
216	599	2162
217	602	2159
218	604	2156
219	607	2152
220	609	2149
221	612	2146
222	615	2146
223	622	2157
224	624	2152
225	627	2150
226	631	2151
227	635	2151
228	639	2154
229	644	2156
230	646	2150
231	650	2153
232	653	2150
233	655	2145
234	658	2143
235	661	2140
236	666	2144
237	670	2146
238	672	2141
239	676	2141
240	683	2152
241	688	2156
242	690	2151
243	693	2150
244	698	2151
245	702	2151
246	704	2147
247	706	2142
248	708	2137
249	710	2132
250	713	2128
251	719	2136
252	723	2136
253	726	2134
254	729	2130
255	731	2126
256	733	2121
257	736	2118
258	739	2115
259	746	2123
260	748	2119
261	751	2116
262	754	2113
263	756	2109
264	759	2105
265	761	2102
266	764	2099
267	768	2099
268	771	2096
269	774	2093
270	777	2090
271	779	2086
272	782	2084
273	788	2089
274	791	2086
275	794	2083
276	797	2082
277	799	2076
278	801	2071
279	804	2068
280	807	2065
281	809	2062
282	812	2059
283	815	2056
284	818	2053
285	821	2050
286	824	2047
287	826	2044
288	829	2040
289	832	2037
290	835	2034
291	837	2031
292	840	2028
293	843	2025
294	846	2022
295	848	2019
296	851	2015
297	854	2012
298	857	2009
299	859	2004
300	861	2000
301	863	1995
302	865	1991
303	868	1988
304	871	1985
305	873	1982
306	877	1979
307	879	1975
308	885	1979
309	886	1973
310	892	1977
311	897	1978
312	899	1973
313	901	1970
314	904	1967
315	907	1963
316	910	1960
317	912	1957
318	915	1954
319	918	1951
320	921	1948
321	924	1945
322	926	1941
323	928	1937
324	931	1934
325	933	1930
326	936	1926
327	938	1922
328	940	1919
329	943	1915
330	945	1911
331	948	1908
332	950	1904
333	953	1900
334	955	1896
335	958	1893
336	960	1889
337	963	1886
338	965	1882
339	967	1878
340	970	1874
341	972	1871
342	975	1868
343	977	1864
344	980	1861
345	982	1857
346	985	1853
347	987	1850
348	990	1846
349	992	1843
350	995	1839
351	998	1837
352	999	1832
353	1002	1829
354	1004	1825
355	1007	1822
356	1009	1818
357	1012	1815
358	1014	1811
359	1017	1808
360	1019	1805
361	1022	1801
362	1024	1798
363	1027	1795
364	1030	1791
365	1032	1788
366	1034	1785
367	1036	1780
368	1038	1776
369	1041	1773
370	1043	1769
371	1046	1766
372	1048	1762
373	1051	1759
374	1053	1756
375	1055	1751
376	1057	1747
377	1059	1744
378	1062	1740
379	1065	1737
380	1067	1734
381	1070	1731
382	1077	1735
383	1080	1733
384	1083	1731
385	1087	1729
386	1090	1726
387	1093	1724
388	1096	1722
389	1098	1718
390	1101	1715
391	1104	1713
392	1107	1710
393	1110	1708
394	1113	1705
395	1116	1703
396	1119	1700
397	1123	1698
398	1126	1696
399	1129	1694
400	1132	1691
401	1138	1692
402	1141	1691
403	1143	1687
404	1145	1683
405	1148	1679
406	1150	1676
407	1152	1672
408	1157	1671
409	1159	1668
410	1162	1665
411	1164	1662
412	1167	1659
413	1169	1655
414	1172	1652
415	1174	1648
416	1176	1645
417	1179	1641
418	1181	1638
419	1186	1638
420	1189	1636
421	1195	1637
422	1198	1634
423	1200	1631
424	1203	1627
425	1205	1624
426	1208	1622
427	1210	1618
428	1213	1615
429	1216	1611
430	1218	1608
431	1221	1605
432	1223	1602
433	1226	1599
434	1228	1595
435	1231	1593
436	1233	1588
437	1235	1584
438	1237	1581
439	1240	1578
440	1242	1574
441	1244	1571
442	1247	1568
443	1249	1565
444	1255	1565
445	1257	1562
446	1260	1559
447	1263	1557
448	1266	1554
449	1270	1552
450	1273	1550
451	1277	1548
452	1280	1546
453	1284	1544
454	1287	1542
455	1291	1541
456	1294	1538
457	1299	1537
458	1302	1534
459	1304	1530
460	1305	1526
461	1307	1522
462	1309	1518
463	1311	1515
464	1314	1512
465	1316	1508
466	1319	1505
467	1321	1502
468	1323	1498
469	1326	1495
470	1328	1492
471	1330	1488
472	1332	1484
473	1334	1480
474	1336	1477
475	1338	1473
476	1341	1470
477	1343	1467
