iter	Logloss
0	0.6871977114
1	0.6823723038
2	0.67704281
3	0.6720443889
4	0.668032906
5	0.6626103845
6	0.6572554452
7	0.6519354367
8	0.6473477695
9	0.6421236248
10	0.6371996192
11	0.6323971274
12	0.6279168465
13	0.6230104121
14	0.6187748592
15	0.6139651947
16	0.6105916965
17	0.606858605
18	0.602796642
19	0.5989736317
20	0.5947231442
21	0.5908487282
22	0.5866449895
23	0.5832008024
24	0.5792753248
25	0.575747183
26	0.5720342716
27	0.5685070357
28	0.5650832031
29	0.5620359181
30	0.5587777865
31	0.5557151639
32	0.5526468083
33	0.5493466299
34	0.5470846172
35	0.5441872736
36	0.5410513564
37	0.5384094027
38	0.5362739905
39	0.5332961258
40	0.5311504213
41	0.5284108118
42	0.5260028428
43	0.5231254399
44	0.5204791393
45	0.5181746436
46	0.5155351874
47	0.5139657021
48	0.5118067341
49	0.5098124983
50	0.5076511754
51	0.5055170579
52	0.5031072524
53	0.5009417453
54	0.4997045406
55	0.4976946005
56	0.4958035406
57	0.4936606355
58	0.4926583499
59	0.4907489474
60	0.4886834809
61	0.4870825872
62	0.4849989676
63	0.4836536007
64	0.4815939582
65	0.4799175356
66	0.4784757901
67	0.476744467
68	0.4751612378
69	0.4740152885
70	0.4720553896
71	0.4706804467
72	0.4697739847
73	0.4683623905
74	0.4663792563
75	0.4649535878
76	0.463739785
77	0.4627598054
78	0.4619835618
79	0.4604801661
80	0.4593335697
81	0.4580229117
82	0.4568724543
83	0.4560387211
84	0.4546747305
85	0.4536130084
86	0.4523390283
87	0.451843972
88	0.4506426747
89	0.4501679591
90	0.4490346934
91	0.4478099292
92	0.4468463217
93	0.4460888295
94	0.4448505109
95	0.443748046
96	0.4428931711
97	0.4418199094
98	0.4409772859
99	0.4401068513
100	0.4390609804
101	0.4384434863
102	0.4377742598
103	0.4366168979
104	0.43566356
105	0.4345902538
106	0.4337722656
107	0.4330899811
108	0.4324864452
109	0.4314242675
110	0.4311237199
111	0.4307539509
112	0.4299303508
113	0.4292754523
114	0.428652866
115	0.4278229002
116	0.4267348661
117	0.4263302512
118	0.4256340302
119	0.4249671218
120	0.4243668896
121	0.4235902674
122	0.4229324199
123	0.4221851564
124	0.4213352629
125	0.4207779707
126	0.420474161
127	0.4200440675
128	0.4193358416
129	0.4191161926
130	0.4183632996
131	0.4176598121
132	0.4171204843
133	0.4168524043
